timestamp,value,metric
2025-01-23 22:23:46.636,4445184.0,mongodb_collstats_latencyStats_reads_latency
2025-01-23 22:23:56.636,4830132.0,mongodb_collstats_latencyStats_reads_latency
2025-01-23 22:24:06.636,5199041.0,mongodb_collstats_latencyStats_reads_latency
2025-01-23 22:24:16.636,5199041.0,mongodb_collstats_latencyStats_reads_latency
2025-01-23 22:24:26.636,5289651.0,mongodb_collstats_latencyStats_reads_latency
2025-01-23 22:24:36.636,5291592.0,mongodb_collstats_latencyStats_reads_latency
2025-01-23 22:24:46.636,5291592.0,mongodb_collstats_latencyStats_reads_latency
2025-01-23 22:24:56.636,5293514.0,mongodb_collstats_latencyStats_reads_latency
2025-01-23 22:25:06.636,5295666.0,mongodb_collstats_latencyStats_reads_latency
2025-01-23 22:25:16.636,5295666.0,mongodb_collstats_latencyStats_reads_latency
2025-01-23 22:25:26.636,5297606.0,mongodb_collstats_latencyStats_reads_latency
2025-01-23 22:25:36.636,5299768.0,mongodb_collstats_latencyStats_reads_latency
2025-01-23 22:25:46.636,5299768.0,mongodb_collstats_latencyStats_reads_latency
2025-01-23 22:25:56.636,5302150.0,mongodb_collstats_latencyStats_reads_latency
2025-01-23 22:23:46.636,279681.0,mongodb_collstats_latencyStats_writes_latency
2025-01-23 22:23:56.636,279681.0,mongodb_collstats_latencyStats_writes_latency
2025-01-23 22:24:06.636,279681.0,mongodb_collstats_latencyStats_writes_latency
2025-01-23 22:24:16.636,279681.0,mongodb_collstats_latencyStats_writes_latency
2025-01-23 22:24:26.636,279681.0,mongodb_collstats_latencyStats_writes_latency
2025-01-23 22:24:36.636,279681.0,mongodb_collstats_latencyStats_writes_latency
2025-01-23 22:24:46.636,279681.0,mongodb_collstats_latencyStats_writes_latency
2025-01-23 22:24:56.636,279681.0,mongodb_collstats_latencyStats_writes_latency
2025-01-23 22:25:06.636,279681.0,mongodb_collstats_latencyStats_writes_latency
2025-01-23 22:25:16.636,279681.0,mongodb_collstats_latencyStats_writes_latency
2025-01-23 22:25:26.636,279681.0,mongodb_collstats_latencyStats_writes_latency
2025-01-23 22:25:36.636,279681.0,mongodb_collstats_latencyStats_writes_latency
2025-01-23 22:25:46.636,279681.0,mongodb_collstats_latencyStats_writes_latency
2025-01-23 22:25:56.636,279681.0,mongodb_collstats_latencyStats_writes_latency
